"URL","Title","Author","Status","Publish Date","Scheduled Date","Category","Tags","Word Count","Main Topic","Search Intent","Content Type","Originality","Evidence","Sources","First-Hand Experience","Factual Claims","AI-Generic Characteristics","Potential Duplication","Potential Cannibalization","Quality Score","Recommended Action","Notes"
"https://techpulzo.in/top-5-budget-smartphones-of-2026-full-buying-guide","Best Budget Smartphones Under ₹15,000 in 2026 — Complete Buying Guide","Muthu","PUBLISHED","2026-06-28","","Tech","phone; redmi","1159","Buying guide comparing three budget smartphones (Redmi Note 13, Realme Narzo 70, Samsung Galaxy A15) under ₹15,000","commercial-investigation (reader comparing specific phones before purchase)","Comparison / Buying guide","Standard spec comparison of three well-known phones that any spec-aggregator site or a generic AI answer already covers; nothing here (no hands-on camera samples, no benchmark numbers, no owned-unit testing) that couldn't be reconstructed from GSMArena listings.","No concrete evidence at all — no benchmark scores, no camera samples, no screenshots referenced despite imgCount 1; every claim is a general assertion.","generic mentions only — prices and specs are stated as fact with no retailer link, review citation, or named source","claimed but generic — opens and closes on 'I helped a cousin pick a phone' but the cousin has no name, no specific story beyond the purchase decision, and no verifiable detail","Specific prices (₹13,999 / ₹12,499 / ₹14,999) and specs (108MP camera, 5000mAh, 45W charging) are plausible for these exact SKUs, but the Redmi Note 13 and Realme Narzo 70 both launched in 2024 — recommending them as a '2026' top pick without mentioning any newer successor models is a real staleness problem for a 2026-dated buying guide.","fabricated-feeling personal anecdote framing ('my cousin') with zero verifiable specifics; recommends phones that would already be 1.5-2+ years old at publish date without acknowledging newer models; formulaic spec-table + FAQ structure; hedge-everything conclusion ('the difference between these three matters less than the spec sheets make it look')","none","none identified in master list","4","MAJOR REWRITE","Already PUBLISHED but recommending 2024-launched phones in a 2026-dated 'buying guide' is a factual-freshness liability worth fixing before an AdSense re-review."
"(not live) /best-free-ai-tools-in-2026-complete-guide","Best Free AI Tools in 2026 — Complete Guide","Muthu","UNPUBLISHED","2026-06-28","","Tech","ai; free-tools; productivity","877","Roundup of free-tier AI tools (ChatGPT, Gemini, Canva, GitHub Copilot, Perplexity)","informational","Listicle","Generic AI-tool roundup covering the five most obvious mainstream tools; nothing here goes beyond what any generic AI answer or a dozen existing 'best free AI tools' posts already say.","None — feature/limit descriptions are stated as fact with no testing methodology, screenshots, or dates for when limits were checked.","none","claimed but generic — 'I stopped paying for AI subscriptions' and 'I tried a couple of AI writing assistants and dropped them' never names the tools or gives a verifiable specific","Numeric free-tier limits (ChatGPT ~40 msgs/3hrs, Canva 50 AI generations/month, Perplexity 5 Pro searches/day) are plausible but these limits change frequently and are unsourced/undated, so accuracy at time of publication can't be verified.","generic listicle of the five most obvious mainstream AI tools; unfalsifiable personal claims with no specifics ('a couple of AI writing assistants... dropped them'); formulaic 'what it does / best uses / free tier' repeated structure; could describe this topic in almost any month of 2024-2026 with no unique angle","best-free-ai-tools-that-will-save-you-10-hours-every-week — substantially the same topic and overlapping tool list (ChatGPT, Gemini, Canva, Perplexity, GitHub Copilot all appear in both unpublished drafts)","best-free-ai-tools-that-will-save-you-10-hours-every-week","3","MERGE","Two near-identical unpublished 'free AI tools' drafts exist on the site; only one should be published, combining the stronger sections of each."
"https://techpulzo.in/top-5-free-online-courses-that-can-get-you-a-job-in-2026","Top 5 Free Online Courses That Can Get You a Job in 2026","Muthu","PUBLISHED","2026-08-15","","Career","ai; online; tech; course; 2026","999","Five free online course platforms with employer-recognized certificates for job-seekers in India","commercial-investigation (choosing a course platform toward a job outcome)","Listicle","More India-specific than most of the batch (NPTEL/PSU angle, AWS Skill Builder salary framing) but the core list (Google Career Certificates, CS50, NPTEL, LinkedIn Learning, AWS) is a common set covered elsewhere; nothing here requires actual testing of the platforms.","Cites a completion-rate statistic ('Coursera's own completion data puts free-course finish rates in the single digits') without a link, number, or date — an unsupported claim presented as fact.","generic mentions only — platform names are specific but the completion-rate claim has no citation","claimed but generic — 'I signed up for four different free courses... I finished zero' is a plausible but unverifiable single anecdote","Salary claims ('AWS-certified roles in India commonly pay ₹8-25 LPA') and fee figures (NPTEL exam ~₹1,000, CS50 certificate $149) are plausible ballparks but unsourced and could be stale by 2026; the Coursera completion-rate stat is asserted with no actual number given.","unsourced statistic stated as established fact; formulaic 'time commitment / cost / who it's for' repeated per entry; hedge-heavy padded closing sections restating the same 'finish what you start' advice multiple ways","none exact","10-best-free-websites-to-learn-coding-in-2026 (overlapping platforms and 'free learning resources' intent); complete-guide-to-getting-a-software-job-in-india-without-a-degree (overlapping 'get a job without traditional credentials' angle)","5","IMPROVE","Best-sourced-feeling article of the batch by virtue of India-specific detail, but the unattributed Coursera completion statistic should be fixed or removed before AdSense review."
"(not live) /how-to-learn-python-in-30-days-complete-beginner-roadmap","How to Learn Python in 30 Days — Complete Beginner Roadmap","Muthu","UNPUBLISHED","2026-06-28","","Tutorials","programming; python; coding; beginners; roadma","1506","30-day beginner roadmap to learn Python","informational","How-to guide","Entirely generic day-by-day topic list indistinguishable from hundreds of near-identical 'learn X in 30 days' posts; contains zero actual code, despite being a programming tutorial, and the back half is padded with vague motivational filler sections that add no new information.","None — no code samples, no screenshots despite imgCount 1, no specific project walkthroughs, purely topic-listing and generic encouragement.","none","none — entirely generic instructional voice with no personal claims at all","Only real numeric claim is 'Average Python developer salary in India: ₹5–18 LPA,' a broad unsourced range; everything else is scheduling/roadmap advice, not independently verifiable.","extremely generic 'Day X: topic' roadmap format found across countless similar posts; zero actual code shown in a coding tutorial; heavily padded filler sections repeating the same reassurance in different words ('Why 30 Days Isn't a Hard Deadline', 'What a Realistic Daily Session Actually Looks Like', 'Where People Usually Give Up'); generic hedge-everything tone throughout; could apply to almost any programming language with minor find-and-replace","none exact","10-best-free-websites-to-learn-coding-in-2026; complete-guide-to-getting-a-software-job-in-india-without-a-degree","2","MAJOR REWRITE","A Python tutorial with no code in it is a glaring gap; currently reads as filler padding around a topic list rather than actual instruction."
"https://techpulzo.in/10-best-free-websites-to-learn-coding-in-2026","10 Best Free Websites to Learn Coding in 2026","Muthu","PUBLISHED","2026-08-15","","Tutorials","programming; coding; beginners; webdevelopment; freecourses","1011","Listicle of 10 free websites/platforms to learn coding","informational","Listicle","Generic aggregator listicle of the most commonly cited free coding platforms (freeCodeCamp, Odin Project, CS50, Khan Academy, Codecademy, MIT OCW, Google, Microsoft Learn, W3Schools, Exercism) — exactly the type of content a generic AI answer produces without any hands-on testing.","None — descriptions of each platform are marketing-style summaries, not the result of actually using them.","none","none — 'Which One I'd Actually Start With' is stated opinion but with no specific detail suggesting the platforms were actually used","'3,000+ hours' (freeCodeCamp), '1,000+ hours' (Microsoft Learn), '$149' CS50 certificate — plausible platform marketing figures, uncited, and the CS50 fee is simply repeated verbatim from the other course article in this batch.","generic aggregator listicle of well-known platforms with no unique comparison depth; formulaic 'Best for: X' repeated per entry; unrelated productivity-advice filler sections tacked on at the end ('Tracking Progress So You Can See It'); excerpt text still says 'learn coding in 2024' while the title and body say 2026 — an uncorrected copy-paste/template artifact","top-5-free-online-courses-that-can-get-you-a-job-in-2026 — overlapping platform list (freeCodeCamp, CS50) and 'free way to learn' framing, though angle differs (job-certificates vs raw coding practice)","top-5-free-online-courses-that-can-get-you-a-job-in-2026; how-to-learn-python-in-30-days-complete-beginner-roadmap","3","IMPROVE","The excerpt field literally still reads '...in 2024' — a leftover editing error visible to anyone who reads the meta description/excerpt, which is a bad look on a live published page."
"(not live) /what-is-artificial-intelligence-simple-explanation-for-beginners","What is Artificial Intelligence — Simple Explanation for Beginners","Muthu","UNPUBLISHED","2026-06-28","","Tech","ai; tech; beginners; machinelearning; artificialintelligence","910","Basic explainer of what artificial intelligence is","informational","Explainer","Textbook-generic 'what is AI' explainer with definitions of narrow/general AI, machine learning, deep learning, and NLP — this is precisely the topic a generic AI chatbot answers identically for any audience; nothing India-specific beyond a bullet list of company names.","None — assertions about how HDFC/ICICI/SBI, Byju's/Unacademy, and Aadhaar use AI are stated as fact with no citation, link, or specific example of the system in action.","generic mentions only — real company names (HDFC, ICICI, SBI, Byju's, Unacademy) are named but no source backs the specific AI-usage claims attributed to them","none","General definitional claims about AI/ML/deep learning/NLP are broadly accurate but textbook-level; specific claims that named Indian banks/edtechs/government systems use AI for fraud detection, personalization, or face recognition are plausible but entirely unsourced.","textbook-generic 'what is X' explainer indistinguishable from a Wikipedia summary or default chatbot answer; formulaic definition-list structure (Narrow AI / General AI / ML / Deep Learning / NLP); named companies used as unsourced examples to simulate specificity; cliché hedge-everything closer ('best time to learn was 5 years ago, second best is today'); could apply to any country's audience despite nominal India framing","none exact","none clearly identified","2","REMOVE","This is the exact archetype of thin, generic explainer content that drives 'low value content' AdSense rejections; adds nothing a reader couldn't get from any AI chatbot in ten seconds."
"https://techpulzo.in/complete-guide-to-getting-a-software-job-in-india-without-a-degree","Complete Guide to Getting a Software Job in India Without a Degree","Muthu","PUBLISHED","2026-06-28","","Career","coding; career; india; softwarejob; placement","1162","Step-by-step guide to landing a software developer job in India without a CS degree","informational / commercial-investigation","How-to guide","More specific than most of the batch — distinguishes product companies vs service companies vs startups, gives concrete platforms (Internshala, Naukri, Wellfound) and a month-by-month timeline; still largely assembled from common career-advice tropes rather than anything a reader couldn't find elsewhere.","No concrete evidence — no named individuals, no linked data; the 'I've sat in on interviews' and 'a fair number of people on my own team never finished a CS degree' claims are specific-sounding but entirely unverifiable.","generic mentions only — real platform/company names given, but no linked or cited data behind any claim","claimed but generic — consistent 'I work as a Java developer' framing throughout is more detailed than most of the batch's anecdotes but still has no independently checkable specifics","Salary bands by company tier (₹3-6 LPA fresher startup up to ₹10-20 LPA MNC at 2 years) are plausible for the Indian dev market but unsourced and could already be stale by 2026; the '8 months, that is the honest timeline' claim is asserted with false precision.","unsourced salary tables presented as settled fact; formulaic Step 1-6 structure; stacked hedge/FAQ-style sections at the end covering nearly every objection; false precision ('Eight months — that is the honest timeline for a dedicated person')","none","how-to-prepare-for-a-technical-interview-a-step-by-step-guide-for-freshers (overlapping interview-prep content); why-just-learn-to-code-doesnt-get-freshers-hired-in-2026 (overlapping 'coding skills to job' angle)","6","IMPROVE","One of the stronger articles in the batch for India-specific concreteness, but salary figures and the 'first-hand' interviewing claims need sourcing to hold up under scrutiny."
"(not live) /google-search-console-how-to-add-your-website-and-get-free-traffic","Google Search Console — How to Add Your Website and Get Free Traffic","Muthu","UNPUBLISHED","2026-06-28","","Tutorials","beginners; seo; traffic; website; googleseach","891","Tutorial on setting up and using Google Search Console","informational (tool how-to)","Tutorial","Standard step-by-step GSC setup that mirrors Google's own help documentation and countless existing tutorials; using techpulzo.in as the example domain is a nice touch but the article never actually shows real data or screenshots from that account.","None — no screenshots referenced despite imgCount 1, no real GSC data (clicks, impressions, rankings) shown even though the site has its own account it could pull real numbers from.","none","claimed but generic — 'The most common mistake I see is...' has no specifics behind it (whose sites, what happened)","Procedural claims (DNS TXT verification within 24 hours, sitemap.xml location convention) are standard and correct; no dubious or India-specific numeric claims to check.","matches Google's own official help-center steps closely with no added value; formulaic Step 1-5 + weekly checklist structure; vague unspecific first-person claim ('the most common mistake I see'); generic 'set it up this week' closing CTA","none","none identified","4","MAJOR REWRITE","Since this uses the site's own domain as the example, it's a strong candidate to add real screenshots and real traffic numbers from techpulzo.in's actual Search Console — currently a missed opportunity for genuine first-party evidence."
"https://techpulzo.in/how-to-save-1-lakh-in-one-year-on-a-30000-salary","How to Save ₹1 Lakh in One Year on a ₹30,000 Salary","Muthu","PUBLISHED","2026-06-28","","Finance","india; finance; salary; money; savings","1511","12-month plan to save ₹1 lakh on a ₹30,000 monthly salary in India","informational","How-to guide","Reasonably concrete numeric plan (50-30-20 adjusted for a ₹30,000 salary, month-by-month milestones) but the framing device and advice style are recycled personal-finance-blog tropes; nothing here required actual financial expertise or verified data to produce.","Cites 'tracking expenses of hundreds of people earning ₹25,000-35,000' as the basis for its 'biggest leaks' figures with zero methodology, source, or data behind it — a fabricated-sounding authority claim.","none — the 'hundreds of people' claim is asserted, not sourced","claimed but generic — 'A friend of mine asked me this exact question over chai' has no name or verifiable detail, a classic fabricated-anecdote opener","The core savings math (₹8,334/month = 27-28% of ₹30,000) is arithmetically correct; interest rate ranges cited (savings 2.7-3%, RD 5-6.5%, liquid fund 6-7%) are plausible for India in 2026 but unsourced/undated; the 'hundreds of people' expense-leak statistic is unverifiable and presented as if from real research.","fabricated-feeling personal anecdote opener with no verifiable specifics; unsupported research-sounding statistic ('tracking expenses of hundreds of people') with no methodology; extremely formulaic month-by-month template; heavily padded closing sections restating the same persistence advice multiple ways ('Common Excuses', 'What Happens After You Hit ₹1 Lakh', 'Why the First Three Months Are the Hardest')","none exact","zero-based-budgeting-how-to-build-a-budget-that-actually-works; how-to-track-where-your-salary-actually-goes-every-month; how-much-of-your-salary-should-actually-go-to-rent","4","IMPROVE","The unsourced 'hundreds of people' expense-tracking claim should be removed or qualified — it reads as fabricated authority, which is a specific risk factor for an AdSense content-quality review."
"(not live) /best-free-ai-tools-that-will-save-you-10-hours-every-week","Best Free AI Tools That Will Save You 10 Hours Every Week","Muthu","UNPUBLISHED","2026-06-28","","Tech","productivity; aitools; free; chatgpt; tools","887","Roundup of 10 free AI tools claimed to save 10 hours/week","informational","Listicle","Near-duplicate of another unpublished draft on this site (best-free-ai-tools-in-2026-complete-guide); the '10 hours a week' claim in the title is never rigorously substantiated, only loosely estimated with made-up per-task minute figures at the very end.","None — the headline time-savings claim is backed only by arbitrary unmeasured estimates ('fifteen minutes saved per meeting... twenty minutes per piece of content'), not any actual measurement.","none","claimed but generic — 'Why I Stopped Trying to Use All Ten at Once' is a generic reflection with no specific verifiable detail","Free-tier limits stated as fact (Otter.ai 300 min/month, Notion AI 20 free responses, GitHub Copilot $10/month professional) are plausible but unsourced/undated and subject to frequent change, so accuracy at publish time can't be confirmed.","title promises a specific quantified benefit ('10 hours every week') that is never actually substantiated with real measurement; substantial content/topic overlap with a sibling unpublished draft on the same site; formulaic 'What it does / Best uses / Free tier' repeated structure; leftover '2024' text in the excerpt field ('the best AI tools available free in 2024') indicating an uncorrected template/draft artifact","best-free-ai-tools-in-2026-complete-guide — same core topic and overlapping tool coverage (ChatGPT, Gemini, Canva, Perplexity, GitHub Copilot)","best-free-ai-tools-in-2026-complete-guide","3","MERGE","Same '2024' excerpt artifact bug found in 10-best-free-websites-to-learn-coding-in-2026, suggesting a systematic unedited-template issue across multiple drafts."
