URL,Title,Category,Scheduled Date,Quality Score,Original Audit Action,Decision,Reason
(not live) /how-to-use-google-alerts-to-track-anything-automatically,How to Use Google Alerts to Track Anything Automatically,Tech,2026-08-15,4,HOLD FROM PUBLICATION,Rewrite before publication,"Sound topic and accurate mechanics, but 21 H2 sections (roughly 4x what a Google Alerts walkthrough needs) and zero screenshots of the actual setup screen. Trim to ~6 sections and add real UI screenshots before it goes live."
(not live) /how-to-turn-a-spreadsheet-into-a-simple-budget-tracker,How to Turn a Spreadsheet Into a Simple Budget Tracker,Finance,2026-08-16,4,HOLD FROM PUBLICATION,Rewrite before publication,"Never shows an actual SUMIF formula, a screenshot, or a downloadable template for a tutorial about building something concrete. Also cannibalizes zero-based-budgeting-how-to-build-a-budget-that-actually-works; differentiate or cross-link."
(not live) /free-vs-paid-antivirus-in-2026-do-you-actually-need-to-pay,Free vs Paid Antivirus in 2026 — Do You Need to Pay,Reviews,2026-08-17,5,HOLD FROM PUBLICATION,Rewrite before publication,"Names AV-Test/AV-Comparatives but cites no actual score, date, or link, a ""borrowed credibility"" pattern that needs a real citation before publishing."
(not live) /how-to-back-up-your-phone-so-a-lost-device-does-not-cost-you-your-photos,How to Back Up Your Phone So a Lost Device Does Not Cost You Your Photos,Tech,2026-08-18,4,HOLD FROM PUBLICATION,Rewrite before publication,19 H2 sections for a topic that needs about 6; core 4-step backup process is accurate. Trim padding and add an India-specific detail (currently reads as generic despite the site's India focus).
(not live) /how-to-compress-a-large-file-without-losing-quality,How to Compress a Large File Without Losing Quality,Tech,2026-08-19,5,IMPROVE,Rewrite before publication,"Structurally sound and factually reasonable but entirely generic — needs named tools, real test numbers, or screenshots to justify the specific 40-70% claim in the excerpt. (quality 5/10)."
(not live) /chrome-vs-firefox-vs-edge-does-the-browser-you-pick-actually-matter,Chrome vs Firefox vs Edge — Does the Browser You Pick Actually Matter,Reviews,2026-08-20,5,IMPROVE,Rewrite before publication,"Reasonable framing (four decision axes) but needs actual measured comparisons (RAM under N tabs, specific extension gaps) to move past generic assertion. (quality 5/10)."
(not live) /how-to-set-up-parental-controls-without-making-a-teenager-furious,How to Set Up Parental Controls Without Making a Teenager Furious,Tech,2026-08-21,4,HOLD FROM PUBLICATION,Rebuild,"Promise/delivery mismatch: a reader searching ""how to set up parental controls"" gets relationship advice with zero actual setup steps for Family Link/Screen Time. Needs to be restructured around real instructions, not edited at the margins."
(not live) /how-to-actually-cancel-a-subscription-you-forgot-you-had,How to Cancel a Subscription You Forgot You Had,Finance,2026-08-22,6,MERGE,Merge with another article,"Canonical survivor of this pair; absorb ""Five Recurring Charges Most People Forget to Cancel"" into it (near-identical statement-scan / Play Store–App Store / UPI Autopay methodology)."
(not live) /the-real-cost-of-buy-now-pay-later-what-the-fine-print-does-not-say,The Real Cost of Buy Now Pay Later — What the Fine Print Does Not Say,Finance,2026-08-23,6,IMPROVE,Rewrite before publication,"One of the stronger pieces in the batch for genuine insight (bureau reporting risk on small purchases); would benefit from one real, named late-fee figure to back the central claim. (quality 6/10)."
(not live) /credit-card-vs-debit-card-for-everyday-spending-what-actually-saves-you-money,Credit Card vs Debit Card for Everyday Spending — What Actually Saves You Money,Finance,2026-08-24,5,IMPROVE,Rewrite before publication,Correct at a conceptual level but every numeric range needs a named card or issuer example to be more than generic advice. (quality 5/10).
(not live) /how-to-track-where-your-salary-actually-goes-every-month,How to Track Where Your Salary Actually Goes Every Month,Finance,2026-08-25,5,IMPROVE,Rewrite before publication,Competes directly with two other site articles for the same budgeting-tracker search intent; needs differentiation or consolidation before publishing on schedule. (quality 5/10).
(not live) /five-recurring-charges-most-people-forget-to-cancel,Five Recurring Charges Most People Forget to Cancel,Finance,2026-08-26,5,MERGE,Merge with another article,"Merge into scheduled ""How to Cancel a Subscription You Forgot You Had"" (more complete version of the same methodology); do not publish both."
(not live) /how-cashback-apps-actually-make-money-off-you,How Cashback Apps Actually Make Money Off You,Finance,2026-08-27,6,IMPROVE,Rewrite before publication,"The breakage/float explanation is the most genuinely insightful content in the batch, but naming zero actual cashback apps in a piece specifically about cashback apps is a real gap. (quality 6/10)."
(not live) /how-to-negotiate-your-broadband-or-dth-bill-down,How to Negotiate Your Broadband or DTH Bill Down,Finance,2026-08-28,6,IMPROVE,Rewrite before publication,"Tactically the most specific how-to in the batch, but the total absence of any named provider (Jio, Airtel, ACT, Tata Play, Dish TV) is a conspicuous gap for a piece that's entirely about negotiating with one. (quality 6/10)."
(not live) /the-real-difference-between-a-fixed-deposit-and-a-recurring-deposit,The Real Difference Between a Fixed Deposit and a Recurring Deposit,Finance,2026-08-29,6,IMPROVE,Rewrite before publication,"Best math-based reasoning in the batch, but should actually finish the ₹1,20,000 worked example with real maturity numbers and state the current TDS threshold instead of leaving both incomplete. (quality 6/10)."
(not live) /how-much-of-your-salary-should-actually-go-to-rent,How Much of Your Salary Should Actually Go to Rent,Finance,2026-08-30,6,IMPROVE,Rewrite before publication,One of the more genuinely India-grounded pieces in the batch (HRA/old-vs-new regime distinction); would benefit from citing the actual tax provision rather than describing it generically. (quality 6/10).
(not live) /how-to-read-a-loan-apr-instead-of-just-the-emi,How to Read a Loan APR Instead of Just the EMI,Finance,2026-08-31,5,IMPROVE,Rewrite before publication,"SENSITIVE FINANCIAL/LEGAL CLAIMS — YMYL finance content with unsourced numeric claims should carry citations (RBI circular, real lender comparison) before publication. (quality 5/10)."
(not live) /how-to-find-freelance-work-in-india-without-bidding-to-the-bottom,How to Find Freelance Work in India Without Bidding to the Bottom,Career,2026-09-01,4,HOLD FROM PUBLICATION,Rewrite before publication,Generic marketplace advice with no case study or named freelancer; GST/LUT details are accurate but Wise/Payoneer fee comparisons are never given real numbers. Overlaps with the companion portfolio article scheduled in the same batch.
(not live) /how-to-write-a-portfolio-that-gets-replies-when-you-have-no-client-work-yet,How to Write a Portfolio That Gets Replies When You Have No Client Work Yet,Career,2026-09-02,4,HOLD FROM PUBLICATION,Rewrite before publication,"18 H2 sections built on hypothetical scripted dialogue rather than a real portfolio example or screenshot. Needs at least one real, shown example and a significant trim."
(not live) /remote-work-vs-hybrid-vs-office-what-actually-affects-career-growth,Remote Work vs Hybrid vs Office: How Each Setup Shapes Your Career Growth,Career,2026-09-03,5,IMPROVE,Rewrite before publication,"The least padded, most focused article in the batch; a real survey citation on remote/hybrid promotion rates would meaningfully strengthen it. (quality 5/10)."
(not live) /how-to-handle-a-counteroffer-from-your-current-employer,How to Handle a Counteroffer From Your Current Employer,Career,2026-09-04,4,MERGE,Merge with another article,"Fold into the already-published ""How to Negotiate Your Salary in India: What Actually Works"" as a section or internal link; states an unsourced ""leaves within a year"" statistic and is one of three overlapping negotiation pieces scheduled together."
(not live) /how-to-build-a-linkedin-profile-that-recruiters-actually-find,How to Build a LinkedIn Profile That Recruiters Actually Find,Career,2026-09-05,5,IMPROVE,Rewrite before publication,"The keyword-search mechanical framing is a genuine differentiator, but unverified claims about current LinkedIn behavior should be checked before publishing. (quality 5/10)."
(not live) /how-to-answer-why-are-you-leaving-your-current-job-honestly-and-well,"How to Answer ""Why Are You Leaving Your Current Job"" Honestly and Well",Career,2026-09-06,4,HOLD FROM PUBLICATION,Rewrite before publication,"Entirely template/script content plus an unsupported claim that Indian interviews expect more formality on this question, with no source. Cut the unsupported cultural claim or source it."
(not live) /what-to-actually-negotiate-besides-salary-in-a-job-offer,Beyond Salary: The Other Parts of a Job Offer Worth Negotiating,Career,2026-09-07,5,MERGE,Merge with another article,"Fold into the published salary-negotiation article; only the ESOP-mechanics section is genuinely distinct, worth preserving as a section rather than a standalone page."
(not live) /how-to-ask-for-a-raise-without-a-new-offer-in-hand,How to Ask for a Raise Without a New Offer in Hand,Career,2026-09-08,5,MERGE,Merge with another article,"Strongest of the three negotiation pieces (names Levels.fyi/AmbitionBox/Glassdoor) — either fold into the published salary-negotiation article, or use this one as the scheduled survivor absorbing the other two and cross-link it from the published piece."
(not live) /how-applicant-tracking-systems-actually-filter-resumes,What Applicant Tracking Systems Really Do With Your Resume,Career,2026-09-09,6,MERGE,Merge with another article,"Mechanically the strongest article in its batch (real comparison table, real platform names) but substantially overlaps the published ""How to Write a Resume That Actually Gets Shortlisted."" Merge as a section on ATS mechanics rather than a separate page."
