Article Title,Article URL,Editorial Decision,Claim,Classification,Source,Source URL,Verification Status,Required Correction
Top 5 Free Online Courses That Can Get You a Job in 2026,(not live) /top-5-free-online-courses-that-can-get-you-a-job-in-2026,IMPROVE,"""Coursera's own completion data puts free-course finish rates in the single digits.""",VERIFIABLE,Open Praxis - 'Uncovering MOOC Completion: A Comparative Study of Completion Rates'; multiple MOOC completion-rate aggregations,https://openpraxis.org/articles/10.55982/openpraxis.16.3.606,Partially Confirmed,"The general finding (free MOOC completion rates commonly fall in the single digits to low teens, roughly 2-15%) is well supported by independent academic and industry research. However, no Coursera-published statistic attributing this figure to 'Coursera's own completion data' could be found — the attribution appears fabricated. Cite the independent research (e.g., published MOOC completion-rate studies) instead of attributing the number to Coursera itself."
Top 5 Free Online Courses That Can Get You a Job in 2026,(not live) /top-5-free-online-courses-that-can-get-you-a-job-in-2026,IMPROVE,"Google Career Certificates are ""recognized by 150+ employers including TCS, Infosys, and Wipro.""",VERIFIABLE,Grow with Google - Career Certificates Employer Consortium,https://grow.google/certificates,Partially Confirmed,"The '150+ employer consortium' figure and Infosys's participation are confirmed. TCS's and Wipro's specific membership in the formal Google Career Certificates Employer Consortium could not be independently confirmed from official Google/Coursera sources — the consortium as officially listed skews toward US employers (Deloitte, Verizon, Walmart, T-Mobile, etc.). Verify TCS and Wipro directly against the current consortium list on grow.google/certificates before publishing, or soften to 'employers including Infosys' unless confirmed."
Top 5 Free Online Courses That Can Get You a Job in 2026,(not live) /top-5-free-online-courses-that-can-get-you-a-job-in-2026,IMPROVE,"Coursera financial aid is ""approved in about 15 days, covers the certificate fee completely.""",VERIFIABLE,Class Central - Coursera Financial Aid help guide; multiple financial-aid guides,https://www.classcentral.com/help/coursera-financial-aid,Confirmed,"None. Coursera states a review window of roughly 15 business days, and approved aid typically covers 100% of the certificate/course fee (though it does not cover Coursera Plus, degree programs, or MasterTrack)."
Top 5 Free Online Courses That Can Get You a Job in 2026,(not live) /top-5-free-online-courses-that-can-get-you-a-job-in-2026,IMPROVE,"Harvard CS50 is ""the most-enrolled computer science course in the world.""",VERIFIABLE,Class Central - 'Harvard CS50 in 2026: How to Get a Free Certificate'; Harvard Gazette coverage of CS50,https://www.classcentral.com/report/cs50-free-certificate/,Partially Confirmed,"CS50 is widely and credibly reported as Harvard's largest course and edX's largest MOOC (2.8M+ enrollments), but no authoritative global ranking of 'most-enrolled CS course in the world' exists to fully verify the superlative. Soften to 'one of the most-enrolled computer science courses in the world' or cite the specific enrollment figure instead of an unverifiable global superlative."
Top 5 Free Online Courses That Can Get You a Job in 2026,(not live) /top-5-free-online-courses-that-can-get-you-a-job-in-2026,IMPROVE,"CS50's ""verified certificate costs $149 if you want it on LinkedIn.""",OUTDATED,Class Central - 'Harvard CS50 in 2026: How to Get a Free Certificate',https://www.classcentral.com/report/cs50-free-certificate/,Outdated,Current pricing for CS50's edX verified certificate is materially higher than $149 — recent sourcing puts it around $199 (with some course variants at $219-$299). Update the figure and confirm the exact current price directly on cs50.harvard.edu/x/certificate or edx.org/cs50 before publishing.
Top 5 Free Online Courses That Can Get You a Job in 2026,(not live) /top-5-free-online-courses-that-can-get-you-a-job-in-2026,IMPROVE,"NPTEL's ""proctored exam fee is around ₹1,000.""",VERIFIABLE,"NPTEL/Swayam official program details, via Careers360 NPTEL exam guide",https://www.careers360.com/exams/nptel,Confirmed,"None. The proctored certification exam fee is ₹1,000 per course for general-category candidates (discounted ₹500-750 for SC/ST/PwD categories)."
Top 5 Free Online Courses That Can Get You a Job in 2026,(not live) /top-5-free-online-courses-that-can-get-you-a-job-in-2026,IMPROVE,"LinkedIn Learning has ""over 21,000 courses.""",VERIFIABLE,Class Central - LinkedIn Learning provider page; LinkedIn Learning product materials,https://www.classcentral.com/provider/linkedin-learning,Partially Confirmed,"The 21,000+ figure roughly matches the free-trial/individual catalog size cited in current sources, but figures across LinkedIn's own materials range from ~21,000 to 25,000+ depending on plan tier and counting method. Fine as an approximate figure; note it may undercount the current full catalog."
Top 5 Free Online Courses That Can Get You a Job in 2026,(not live) /top-5-free-online-courses-that-can-get-you-a-job-in-2026,IMPROVE,"AWS Skill Builder's ""free tier includes 500+ courses"" and ""the certification exam costs around $100.""",VERIFIABLE,AWS Skill Builder official site; AWS Certified Cloud Practitioner exam pricing guides,https://skillbuilder.aws/,Confirmed,"None. AWS Skill Builder's free tier offers 500+ (some current sourcing says 600+) free courses, and the AWS Certified Cloud Practitioner exam has a flat $100 USD registration fee (India pricing runs roughly ₹9,800 including taxes)."
Top 5 Free Online Courses That Can Get You a Job in 2026,(not live) /top-5-free-online-courses-that-can-get-you-a-job-in-2026,IMPROVE,"""AWS-certified roles in India commonly pay ₹8-25 LPA depending on experience.""",VERIFIABLE,K21Academy - 'AWS Salary in India 2026: Role-Wise Guide',https://k21academy.com/aws-cloud/aws-salary-in-india/,Partially Confirmed,"Broadly plausible as a mid-band figure, but current salary research shows a wider and more skewed distribution: entry-level/fresher AWS roles often start around ₹4-8 LPA, while specialized/experienced certified roles (Solutions Architect Professional, ML, Security) commonly reach ₹22-45 LPA or higher. Cite a specific salary-aggregator source (e.g., AmbitionBox, Glassdoor, or the K21Academy guide) and clarify that ₹8-25 LPA represents a mid-experience band, not the full range."
Top 5 Free Online Courses That Can Get You a Job in 2026,(not live) /top-5-free-online-courses-that-can-get-you-a-job-in-2026,IMPROVE,"""I signed up for four different free courses in the same month once, convinced I'd power through all of them. I finished zero.""",EXPERIENCE,,,N/A,"First-person anecdote; unverifiable by nature. It reads as a generic, plausible-but-interchangeable admission used to illustrate the article's advice rather than a specific, detailed personal story — consider adding concrete specifics (which courses, what month) if it is meant to read as genuine lived experience, or flag internally if it is illustrative rather than factual."
