id,url,title,status,category,current_author,current_word_count,recommended_action,quality_score,originality_score,factual_risk,information_gain_score,first_hand_experience_potential,duplicate_risk,cannibalization_risk,reason,required_human_input,target_article_if_merge,priority
1,https://techpulzo.in/top-5-budget-smartphones-of-2026-full-buying-guide,"Best Budget Smartphones Under ₹15,000 in 2026 — Complete Buying Guide",PUBLISHED,Tech,Muthu,1159,MAJOR REWRITE,4,1,High,1,1,9,0,Recommends phones that launched in 2024 as 2026 top picks with no refresh and no hands-on testing evidence; needs current models and real comparison data.,Replace stale 2024-launched phone picks with current 2026 models and add real comparison data,,P1
2,(not live) /best-free-ai-tools-in-2026-complete-guide,Best Free AI Tools in 2026 — Complete Guide,UNPUBLISHED,Tech,Muthu,877,MAJOR REWRITE,3,1,High,1,1,9,9,"Generic 5-tool roundup with unsourced, undated free-tier limits and a fabricated-feeling personal anecdote; canonical survivor of the two near-duplicate AI-tools drafts but needs real testing and current data before it can ever publish.",Update the outdated ChatGPT rate-limit claim to current policy before publishing,,P1
3,https://techpulzo.in/top-5-free-online-courses-that-can-get-you-a-job-in-2026,Top 5 Free Online Courses That Can Get You a Job in 2026,PUBLISHED,Career,Muthu,999,IMPROVE,5,4,Medium,4,3,6,7,"Genuinely India-specific angle (NPTEL, AWS salary framing) undercut by an unattributed Coursera completion-rate statistic that needs sourcing or removal.",Cite the Coursera completion-rate statistic or remove it,,P1
4,(not live) /how-to-learn-python-in-30-days-complete-beginner-roadmap,How to Learn Python in 30 Days — Complete Beginner Roadmap,UNPUBLISHED,Tutorials,Muthu,1506,REBUILD,2,0,Medium,0,5,10,7,"A programming roadmap containing zero actual code is a core promise/delivery mismatch for a coding tutorial; needs to be reconceived around real code and projects, not edited.","Rebuild around real, runnable code examples and actual projects",,P2
5,https://techpulzo.in/10-best-free-websites-to-learn-coding-in-2026,10 Best Free Websites to Learn Coding in 2026,PUBLISHED,Tutorials,Muthu,1011,MAJOR REWRITE,3,1,Medium,1,1,9,6,Generic aggregator listicle of well-known platforms with a leftover '...in 2024' excerpt artifact still live; needs real hands-on testing/opinions to be more than a copy-paste list.,Fix the leftover 2024 excerpt artifact and add real hands-on platform testing,,P2
6,(not live) /what-is-artificial-intelligence-simple-explanation-for-beginners,What is Artificial Intelligence — Simple Explanation for Beginners,UNPUBLISHED,Tech,Muthu,910,REMOVE,2,0,Medium,0,5,10,0,"Textbook-generic 'what is AI' explainer indistinguishable from any chatbot answer, with unsourced claims about named Indian companies' AI use and no realistic path to differentiation.",None — recommend removal rather than further investment,,P3
7,https://techpulzo.in/complete-guide-to-getting-a-software-job-in-india-without-a-degree,Complete Guide to Getting a Software Job in India Without a Degree,PUBLISHED,Career,Muthu,1162,IMPROVE,6,6,Medium,5,3,4,7,One of the more India-specific and concrete pieces on the site; the salary tables and 'I've sat in on interviews' claims need real sourcing to hold up.,Source the salary-band figures and substantiate the 'sat in on interviews' claims,,P1
8,(not live) /google-search-console-how-to-add-your-website-and-get-free-traffic,Google Search Console — How to Add Your Website and Get Free Traffic,UNPUBLISHED,Tutorials,Muthu,891,MAJOR REWRITE,4,2,Low,1,1,8,0,"Restates Google's own documentation with no real data despite using techpulzo.in's own domain as the example — a missed, easily fixable opportunity to show real first-party Search Console screenshots and numbers.",Add real Search Console screenshots and traffic numbers from techpulzo.in's own account,,P2
9,https://techpulzo.in/how-to-save-1-lakh-in-one-year-on-a-30000-salary,"How to Save ₹1 Lakh in One Year on a ₹30,000 Salary",PUBLISHED,Finance,Muthu,1511,IMPROVE,4,4,High,3,2,5,8,Concrete milestone math is sound and distinct from the site's other budgeting pieces; remove the fabricated-sounding 'hundreds of people' statistic and the generic chai anecdote.,Remove or source the fabricated-sounding 'hundreds of people' expense statistic,,P1
10,(not live) /best-free-ai-tools-that-will-save-you-10-hours-every-week,Best Free AI Tools That Will Save You 10 Hours Every Week,UNPUBLISHED,Tech,Muthu,887,MERGE,3,1,Medium,1,1,9,9,Near-identical unpublished draft covering the same five tools; its '10 hours a week' headline claim is never substantiated. Fold into the other draft rather than publishing two.,None — fold into best-free-ai-tools-in-2026-complete-guide per the MERGE decision,Best Free AI Tools in 2026 — Complete Guide,P3
